,RELIANCE.NS,TCS.NS,INFY.NS,HDFCBANK.NS,ICICIBANK.NS,LT.NS,SBIN.NS,BHARTIARTL.NS,HINDUNILVR.NS,KOTAKBANK.NS,ITC.NS,BAJFINANCE.NS,ADANIENT.NS,ASIANPAINT.NS,MARUTI.NS,WIPRO.NS,HCLTECH.NS,AXISBANK.NS,SUNPHARMA.NS,TITAN.NS,Gold,Silver,Platinum,FD_Rate,RELIANCE.NS_ROI,TCS.NS_ROI,INFY.NS_ROI,HDFCBANK.NS_ROI,ICICIBANK.NS_ROI,LT.NS_ROI,SBIN.NS_ROI,BHARTIARTL.NS_ROI,HINDUNILVR.NS_ROI,KOTAKBANK.NS_ROI,ITC.NS_ROI,BAJFINANCE.NS_ROI,ADANIENT.NS_ROI,ASIANPAINT.NS_ROI,MARUTI.NS_ROI,WIPRO.NS_ROI,HCLTECH.NS_ROI,AXISBANK.NS_ROI,SUNPHARMA.NS_ROI,TITAN.NS_ROI,Gold_ROI,Silver_ROI,Platinum_ROI,FD_Rate_ROI
2023-05-05,1114.650634765625,3025.190673828125,1154.755126953125,782.2103881835938,904.5554809570312,2310.8662109375,545.2355346679688,772.8955688476562,2385.5361328125,1922.786376953125,392.844482421875,629.2203979492188,1917.5870361328125,2927.101806640625,8688.236328125,182.02769470214844,964.1088256835938,863.013671875,949.640869140625,2707.04296875,2017.4000244140625,25.743000030517578,1066.4000244140625,5.561223408890104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-08,1128.4139404296875,3043.82470703125,1160.71630859375,791.25634765625,915.2409057617188,2299.105224609375,551.9505004882812,779.2276000976562,2400.369873046875,1952.843994140625,395.31842041015625,655.6207275390625,1884.833251953125,2933.416259765625,8812.1220703125,182.48350524902344,982.5590209960938,876.1289672851562,941.2252807617188,2725.219482421875,2026.300048828125,25.63599967956543,1088.800048828125,5.404557136134074,0.01234764080761197,0.006159622718770796,0.005162290689588733,0.011564611783873469,0.01181290150758052,-0.005089427623485632,0.012315715673964167,0.008192609073229162,0.006218199770835708,0.015632322731103265,0.006297499644209115,0.04195720557675631,-0.01708072883395262,0.0021572372749982804,0.0142590207619544,0.00250407251281648,0.019137046380026668,0.01519708880354309,-0.008861864155574883,0.006714527209839005,0.004411630963793378,-0.004156483347912188,0.0210052737258426,-0.02817118846647748
2023-05-09,1131.90625,3074.397216796875,1165.3939208984375,791.2803344726562,911.8255004882812,2307.804443359375,542.3982543945312,779.0802612304688,2399.892578125,1948.30810546875,388.3089904785156,645.2122802734375,1893.4210205078125,2948.329345703125,8846.3955078125,183.41905212402344,985.5274047851562,885.903076171875,936.9197387695312,2722.396484375,2036.199951171875,25.697999954223633,1117.0999755859375,5.515875782929915,0.0030948833980042334,0.010044109864474793,0.004029935885328184,3.0314848629364732e-05,-0.0037317008581417843,0.003783741021021747,-0.017306345560516134,-0.00018908322442512393,-0.00019884223978750004,-0.0023227091797832777,-0.01773109870359213,-0.015875714156710963,0.0045562484351273635,0.005083862846894993,0.0038893511944717574,0.005126747613288796,0.0030210742821874526,0.01115601612512096,-0.004574401134554207,-0.0010358791521504207,0.004885704044411021,0.0024184847649075802,0.025991849273217627,0.02059718196919058
2023-05-10,1139.6895751953125,3077.721923828125,1158.5611572265625,794.9371948242188,913.435546875,2298.181884765625,541.1688232421875,781.4855346679688,2406.474853515625,1952.694580078125,389.72918701171875,653.0161743164062,1889.476806640625,2954.7412109375,8901.3486328125,184.11473083496094,984.887939453125,887.5487670898438,933.347900390625,2719.474365234375,2030.5,25.461000442504883,1122.199951171875,5.605900118234764,0.006876298452555218,0.0010814175257138903,-0.005863050724176921,0.004621447282649349,0.0017657395914640883,-0.004169572782234066,-0.0022666576493984847,0.003087324319706264,0.002742737508596216,0.0022514275832772324,0.0036573877196430793,0.01209507983893543,-0.00208311507291159,0.0021747452480909146,0.006211922692295424,0.0037928377825608983,-0.0006488559617179313,0.0018576421758009776,-0.003812320555437565,-0.001073362810081635,-0.0027993081762891503,-0.009222488603818246,0.004565370779157307,0.016320950443345694
2023-05-11,1132.2486572265625,3073.36767578125,1152.0037841796875,795.4664916992188,916.509521484375,2179.3095703125,542.3510131835938,774.1717529296875,2472.963623046875,1951.94677734375,385.1937561035156,656.1622924804688,1981.8460693359375,3050.28857421875,8991.400390625,184.54652404785156,993.839111328125,893.582763671875,940.4424438476562,2731.757080078125,2014.699951171875,24.2549991607666,1108.0999755859375,5.484432867937393,-0.006528898860441723,-0.0014147633069654386,-0.0056599282704872245,0.000665834833803558,0.0033652890123354595,-0.051724502416939044,0.002184512282735751,-0.00935881908727676,0.02762911460891293,-0.00038295939467658524,-0.011637390935431147,0.004817825787172714,0.048886158523183676,0.032336965053847866,0.010116642042369506,0.002345239899775864,0.00908851811097433,0.0067984958187885525,0.0076011779252538325,0.004516576806449013,-0.0077813586939793344,-0.047366610140148646,-0.01256458403087024,-0.021667751428939064
2023-05-12,1134.097412109375,3066.016845703125,1142.0069580078125,802.4916381835938,921.0958862304688,2158.849609375,546.7960815429688,777.4605102539062,2502.53515625,1954.5887451171875,385.2395324707031,661.1795043945312,1961.924072265625,3041.88525390625,9024.8955078125,183.8748321533203,1000.5980224609375,908.2439575195312,935.500732421875,2746.9619140625,2014.5,23.992000579833984,1070.0999755859375,5.491547507510183,0.001632817023904387,-0.0023917834940645477,-0.008677771990995176,0.00883148009084378,0.005004164865265892,-0.009388276551534736,0.008195925242736157,0.00424809780487756,0.011957932954424377,0.0013535040012888633,0.00011883984738103592,0.00764629722182919,-0.010052242390847121,-0.002754926331733132,0.003725239198826502,-0.00363968868011344,0.006800810167130855,0.016407203052363206,-0.005254666522241491,0.005565953903902798,-9.924612931011545e-05,-0.010843066997834772,-0.034292934606289904,0.0012972425306512214
2023-05-15,1136.334228515625,3047.991943359375,1154.0672607421875,806.3409423828125,922.9012451171875,2183.8779296875,550.3427734375,782.4671630859375,2539.59521484375,1966.95068359375,391.9740295410156,660.9727172851562,1913.343017578125,3042.759521484375,8939.3583984375,185.07427978515625,1004.4800415039062,913.3803100585938,932.5651245117188,2753.251708984375,2018.0,24.12700080871582,1077.800048828125,5.628883656925967,0.0019723318141513513,-0.005878931281480426,0.010560621062601694,0.004796690726811104,0.0019600118876950123,0.01159335981710452,0.0064863154917333965,0.006439751943666083,0.014809006179670847,0.006324572628100933,0.017481323962578177,-0.0003127548691400639,-0.024761944345480513,0.000287409782141701,-0.009477905788599306,0.006523174584522895,0.0038796988958873513,0.005655256494180527,-0.003138007067676307,0.0022897277496551904,0.0017374038222883748,0.0056268850291421035,0.007195657805684208,0.0250086426873235
2023-05-16,1120.1513671875,3050.893798828125,1159.5242919921875,801.7174682617188,923.4867553710938,2164.778564453125,554.504150390625,772.9446411132812,2552.616455078125,1941.0802001953125,388.44647216796875,668.09228515625,1886.48095703125,3048.685791015625,8807.365234375,185.6500244140625,996.2137451171875,915.3750610351562,920.7734375,2763.850341796875,1988.4000244140625,23.73699951171875,1070.0,5.54257729344706,-0.01424128651766865,0.0009520548356671821,0.00472852097588361,-0.005733894780824311,0.0006344235171467094,-0.008745619420728379,0.007561427448447455,-0.012169867851196225,0.005127289639808241,-0.01315258364849814,-0.00899946707484034,0.010771349081299952,-0.014039333407595889,0.0019476628006274144,-0.014765395700609862,0.003110884070842257,-0.008229428206798839,0.0021839215873118434,-0.012644357698764153,0.0038494964982369595,-0.014667976008888806,-0.016164516264955076,-0.0072370091619552435,-0.015332767337038922
2023-05-17,1113.5322265625,3004.589599609375,1143.5660400390625,797.4102172851562,916.6558227539062,2157.3916015625,554.504150390625,777.7550048828125,2539.118408203125,1903.2965087890625,391.790771484375,660.2587890625,1896.8162841796875,3004.336669921875,8854.0185546875,183.41905212402344,981.4628295898438,912.3829956054688,915.880615234375,2736.263916015625,1980.699951171875,23.75200080871582,1085.699951171875,5.346300786927985,-0.005909148369491746,-0.015177256984997611,-0.013762757764830491,-0.00537252978396674,-0.007396892892570617,-0.003412341110505701,0.0,0.006223425991546794,-0.005287925982043751,-0.01946529123446228,0.008609421261419392,-0.011725170710387589,0.0054786278705416525,-0.014546963555393422,0.005297080235802332,-0.012017085896327329,-0.014806978522072689,-0.003268677023278155,-0.005313817782265251,-0.009981157577191757,-0.0038724970567511896,0.0006319794963833836,0.014672851562500089,-0.035412497855669245
2023-05-18,1111.1356201171875,2996.30322265625,1142.7408447265625,800.5980224609375,923.6331176757812,2126.87158203125,543.0603637695312,784.72509765625,2506.494140625,1921.4906005859375,384.5523681640625,668.56494140625,1887.3297119140625,3020.46337890625,8789.8408203125,183.56298828125,986.3494262695312,912.283203125,909.7158203125,2696.09765625,1956.5,23.4950008392334,1061.300048828125,5.659239314595852,-0.002152256026492272,-0.002757906422295564,-0.0007215983018101779,0.003997697930977484,0.007611684504346572,-0.01414672213850543,-0.02063787369856851,0.00896181024831555,-0.012848659390096162,0.009559252440625166,-0.018475175647676423,0.01258014657486628,-0.005001313171310917,0.005367810187795641,-0.007248430074841328,0.0007847394017128639,0.004978891234963756,-0.00010937564701385405,-0.006731002730413049,-0.014679234532359198,-0.012217878410890615,-0.01082013980852159,-0.022473890983796596,0.0585336553515694
