Date,Close,Volume,Return,SMA_10,EMA_10,RSI,Volatility,Ticker
2020-01-20,-1.8317186724951466,0.8032434613304769,-1.6726498839953368,-1.810615351975063,-1.814549464913932,-0.015851190725671448,0.1350005824417134,RELIANCE.NS
2020-01-21,-1.8286874235156918,-0.03770530922277948,0.021176109395164594,-1.8087981764150767,-1.8160977589890057,0.01850922114889383,0.07075092933473491,RELIANCE.NS
2020-01-22,-1.8297631140530235,-0.5685728745126402,-0.0518499395477456,-1.8048511966672074,-1.8175604430279435,0.0044159178359329315,0.046305658407069385,RELIANCE.NS
2020-01-23,-1.842473176773513,-0.5114779177180079,-0.2586489597917729,-1.8089837755032847,-1.8210718609892393,-0.16692642508777747,-0.13782791680634243,RELIANCE.NS
2020-01-24,-1.85283710294011,-0.3027886844579556,-0.21773236238548493,-1.814083564985625,-1.8258322522012944,-0.3061240901507605,-0.136808136139715,RELIANCE.NS
2020-01-27,-1.8821686120536627,-0.37937614526039765,-0.558125789833773,-1.821342510077296,-1.8350687872180607,-0.6760623895013134,-0.11316886758902996,RELIANCE.NS
2020-01-28,-1.9502164432846654,0.308567212848053,-1.2637519291833526,-1.832607057783106,-1.8550183941560756,-1.3491205743321963,0.018942564735827103,RELIANCE.NS
2020-01-29,-1.934377487056779,0.3217976311912611,0.2605715066401268,-1.8412044116974562,-1.8684563090025104,-1.1079405645211409,0.045432642783244874,RELIANCE.NS
2020-01-30,-2.0049678110508693,0.17711137769964178,-1.3327867803690934,-1.859600768319748,-1.8923064312778686,-1.6608318740300931,0.11545644045320314,RELIANCE.NS
2020-01-31,-2.067736168064795,0.9393236372323314,-1.2176358913075898,-1.8926908037475654,-1.923251145056441,-2.0295448779982697,-0.3224229436087868,RELIANCE.NS
2020-02-03,-2.1188701528955627,0.6900587506409636,-1.0199596639201471,-1.9213844707705294,-1.957881746112993,-2.27323452174984,-0.48406138671009685,RELIANCE.NS
2020-02-04,-2.038894215532592,0.3611400529129455,1.5404675080756498,-1.9423894249768863,-1.9716511608539822,-1.2778363019455123,0.06518150667409953,RELIANCE.NS
2020-02-05,-1.9956795754216037,-0.06552184881292568,0.7929623170607302,-1.9589686593569424,-1.9750470678901384,-0.834702548449944,0.2082823664497818,RELIANCE.NS
2020-02-06,-1.977494482639825,-0.24660670671560297,0.30942296901496336,-1.972460689368876,-1.9745137828584272,-0.6581562672196338,0.24836753603462192,RELIANCE.NS
2020-02-07,-2.0247170837980186,-0.45212668659343147,-0.9155821535986872,-1.9896358295832783,-1.9826773410858107,-0.9905275871799325,0.28716938323803654,RELIANCE.NS
2020-02-10,-2.0209038782300426,-0.2710578166268286,0.039753019142177465,-2.0034989777950036,-1.9886621790465906,-0.9507254457836223,0.293631099047187,RELIANCE.NS
2020-02-11,-1.987368852225072,-0.3415936275719186,0.6039081402169252,-2.007211439418919,-1.9874516771817217,-0.6038782010932118,0.23682067960443104,RELIANCE.NS
2020-02-12,-1.9530516028432523,-0.37037506070947407,0.6110672677938781,-2.0090774540380254,-1.9802116255070592,-0.27541666958623673,0.27528693590009923,RELIANCE.NS
2020-02-13,-1.9455233698118977,-0.3683939146848721,0.106809474726172,-2.0031374567902356,-1.9729169525364,-0.20477360925866234,0.07335112247574038,RELIANCE.NS
2020-02-14,-1.9192228428894718,0.104588618158556,0.4535078637275634,-1.9882972341484733,-1.9621588976263196,0.040641783004388025,-0.16138896798819297,RELIANCE.NS
